"meanImp","medianImp","minImp","maxImp","normHits","decision","V7"
0.94637890799359,0.960476919353403,-0.69342623761603,2.89947082328413,0,"Rejected","Voivodeship_WIELKOPOLSKIE"
1.18244523249066,1.19049348265687,-0.0218598206687935,2.05090362693666,0,"Rejected","Voivodeship_£ÓDZKIE"
1.32691962076595,1.32312803332067,-0.346441329123141,2.71648199930682,0,"Rejected","`Voivodeship_KUJAWSKO-POMORSKIE`"
1.50042431495461,1.5093804457033,-0.0846101788949371,3.51044142050815,0.0909090909090909,"Rejected","Voivodeship_PODKARPACKIE"
1.70966161258094,1.65501178853091,-0.947155808745225,4.91498786719938,0.0606060606060606,"Rejected","Voivodeship_ŒL¥SKIE"
1.73781851989514,1.733444350374,-0.788824144718597,4.40032257063588,0.0404040404040404,"Rejected","MainNAICSCodes_WholesaleTrade"
2.01883683280491,1.84313926287033,0.0707215822524868,3.98642835976325,0.121212121212121,"Rejected","Voivodeship_ZACHODNIOPOMORSKIE"
2.05008976997025,2.00886859613508,0.391374374131094,4.5329622699259,0.171717171717172,"Rejected","MainPKD_TransportMagazyny"
2.15171961863515,2.1866367505579,0.565540944168656,3.551891862022,0.212121212121212,"Rejected","DividendSum"
2.3831141119224,2.33945647241035,-0.63974445971071,5.63166071267795,0.393939393939394,"Confirmed","Voivodeship_Other"
2.41909441189715,2.42672198295121,-0.539365992532538,4.5916903590614,0.383838383838384,"Rejected","Voivodeship_DOLNOŒL¥SKIE"
3.05587849514013,3.14211025486634,0.647009203077941,5.68682877272599,0.666666666666667,"Rejected","ExpiredLicenses"
3.07365515129034,3.11375381442176,1.406666510349,5.31558074319658,0.616161616161616,"Confirmed","Voivodeship_POMORSKIE"
3.21923337378518,3.22103215817779,0.351829672654812,5.7771675964133,0.646464646464647,"Confirmed","MainPKD_AdministracjaLacznoscMedia"
3.23635663798464,3.10159153490065,0.337338034626178,5.47524947287317,0.747474747474748,"Confirmed","Voivodeship_LUBELSKIE"
3.28667148228298,3.21661470564644,0.560595551253056,5.30451531101242,0.727272727272727,"Confirmed","RevertedLicenses"
3.44987107602362,3.47015565607586,0.949639884137436,6.19575479994134,0.757575757575758,"Confirmed","AdresBiuroWirtualne_TAK"
4.76317401312724,4.88766437988156,1.71803523358619,7.4661975447143,0.95959595959596,"Confirmed","RyzykownaDzia³alnoscGlowna_TAK"
4.78641395129844,4.69933319414831,3.34591934719546,6.19099857046654,0.98989898989899,"Confirmed","ActiveLicenses"
4.7966164545215,4.72513768502822,3.17862493430837,6.62286552522869,0.98989898989899,"Confirmed","MainPKD_InformacjaKomunikacja"
5.10691099413972,5.13801462945834,1.66852179310575,7.21402596777339,0.95959595959596,"Confirmed","PublicMail_NIE"
5.1493206901773,5.15102689471552,2.44651121291705,7.38098865802344,0.96969696969697,"Confirmed","PublicMail_TAK"
5.16567918864075,5.03896502240991,2.70039876106618,7.24078250009,0.97979797979798,"Confirmed","Voivodeship_MA£OPOLSKIE"
5.31153005691339,5.32298882226002,2.90736752763146,7.54599442512282,0.98989898989899,"Confirmed","MainNAICSCodes_TransportationUtilities"
5.36393663703318,5.42515432649561,4.25234391342839,6.52351607737188,1,"Confirmed","MainPKD_Budownictwo"
5.51873236062674,5.45473678027544,3.21236545759529,7.94854380617668,1,"Confirmed","MainPKD_DzialalnoscNaukowaTechniczna"
5.7296179372176,5.69680753517811,3.52958590347755,7.70660119879765,1,"Confirmed","MainNAICSCodes_FinanceInsuranceRealEstate"
6.26219539479164,6.38102654853423,2.11981786884736,9.66014080577796,0.97979797979798,"Confirmed","CAACImport_TAK"
6.2622645436693,6.38884398432617,2.7599232611038,9.16286125696482,1,"Confirmed","AdresLokal_TAK"
6.41607601873778,6.41963647578345,4.3301180362089,9.02932364100422,1,"Confirmed","Voivodeship_MAZOWIECKIE"
6.44844334874056,6.56680177992135,1.82847136951625,9.06170648621472,0.95959595959596,"Confirmed","CAACEksport_TAK"
6.45946837273749,6.30823376449022,3.5229112718396,8.76180323721754,1,"Confirmed","MainPKD_HandelHurtowy"
6.80166323064463,6.87814361778687,5.25079124251364,8.36778142014778,1,"Confirmed","MainPKD_Nieruchomosci"
7.05625437928147,7.10134693148547,3.99699536898713,8.88841975035576,1,"Confirmed","MainNAICSCodes_Manufacturing"
7.25047989692466,7.26120851879056,4.62603958254738,9.33912788430112,1,"Confirmed","AdresLokal_NIE"
7.41983302265659,7.40631762541413,4.98948987627829,9.83018159710895,1,"Confirmed","MainNAICSCodes_RetailTrade"
7.48508255795267,7.59199057318421,5.16957636781922,9.29051219216446,1,"Confirmed","RyzykownaDzia³alnoscGlowna_NIE"
7.66255645283108,7.68646341774441,4.33715055019785,10.1188805941333,1,"Confirmed","JednostkiLokalne"
7.86266730906273,7.85399207712076,4.93935257013947,9.91762716483916,1,"Confirmed","`FormaWlasnosci_W£ASNOŒÆ MIESZANA W SEKTORZE PRYWATNYM`"
8.05121945316164,8.09597642288938,5.57702951739288,10.2296665508652,1,"Confirmed","LatestMarketCapitalization"
8.1305127994323,8.1394304900955,6.63419111846882,9.69870874104163,1,"Confirmed","MainPKD_FinanseUbezpieczenia"
8.48956390335309,8.42333725802413,7.32828234264787,10.2114583107916,1,"Confirmed","FormaWlasnosci_BrakDanych"
8.56758044975496,8.63048140225851,6.69899063574109,10.3604574655736,1,"Confirmed","MainPKD_UslugiPozostale"
8.73602805053507,8.69781918786684,6.55978080730055,10.8529695696326,1,"Confirmed","AdresBiuroWirtualne_NIE"
