,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,49021953,2020-01-29,0.6371153657825701,0,0,0.0006887052341597796,0.0
1,48259641,2020-01-22,0.622563773114813,0,0,0.0013774104683195593,0.0
2,47304997,2019-12-20,0.6193471203274817,0,0,0.002066115702479339,0.0
3,36018891,2020-05-29,0.6165686539940805,0,0,0.0027548209366391185,0.0
4,36057662,2020-03-12,0.6081469055827433,1,1,0.003443526170798898,0.0125
5,36056106,2020-02-28,0.6077994540528551,0,1,0.004132231404958678,0.0125
6,38123707,2020-02-04,0.6069024404949339,0,1,0.0048209366391184574,0.0125
7,36440834,2020-05-15,0.606219071336849,0,1,0.005509641873278237,0.0125
8,36048807,2020-05-14,0.606219071336849,1,2,0.006198347107438017,0.025
9,47645814,2020-03-25,0.6046311079039555,0,2,0.006887052341597796,0.025
10,36254281,2020-01-07,0.6044526454840546,0,2,0.007575757575757576,0.025
11,49657944,2020-05-27,0.6028857426647126,1,3,0.008264462809917356,0.0375
12,38860656,2020-02-20,0.6025094713196404,0,3,0.008953168044077135,0.0375
13,48948700,2020-03-20,0.6022655390038026,1,4,0.009641873278236915,0.05
14,36258253,2020-03-19,0.5998697216536459,1,5,0.010330578512396695,0.0625
15,36153023,2020-03-18,0.5998697216536459,0,5,0.011019283746556474,0.0625
16,49029580,2020-03-03,0.599868418669323,1,6,0.011707988980716254,0.075
17,45910873,2020-03-18,0.5995981451828947,0,6,0.012396694214876033,0.075
18,45910887,2020-03-20,0.5978110053871247,0,6,0.013085399449035813,0.075
19,47261699,2020-05-21,0.5972234741232386,1,7,0.013774104683195593,0.0875
20,49203238,2020-05-22,0.5966301884577211,0,7,0.014462809917355372,0.0875
21,38206756,2020-03-12,0.5952504465009253,0,7,0.015151515151515152,0.0875
22,44432955,2020-03-16,0.5945515606069148,0,7,0.01584022038567493,0.0875
23,36465449,2020-05-29,0.5933470663416044,0,7,0.01652892561983471,0.0875
24,50187906,2020-05-13,0.5931973025458542,1,8,0.01721763085399449,0.1
25,48763510,2020-05-11,0.5917536068967861,1,9,0.01790633608815427,0.1125
26,36037296,2020-05-28,0.5914725724440636,1,10,0.01859504132231405,0.125
27,50187911,2020-05-15,0.5903439670432414,0,10,0.01928374655647383,0.125
28,36057449,2020-05-11,0.5900888813899061,1,11,0.01997245179063361,0.1375
29,36238395,2020-04-29,0.5900888813899061,0,11,0.02066115702479339,0.1375
30,36172177,2020-04-01,0.588300115566315,0,11,0.02134986225895317,0.1375
31,36551619,2020-04-27,0.5870492669418228,1,12,0.02203856749311295,0.15
32,48507511,2020-05-06,0.5862884406319329,0,12,0.022727272727272728,0.15
33,43284555,2020-05-22,0.5861202426317238,0,12,0.023415977961432508,0.15
34,36011782,2020-05-27,0.5855459836035537,0,12,0.024104683195592287,0.15
35,49587278,2020-05-15,0.5841602307383299,0,12,0.024793388429752067,0.15
36,36171478,2020-04-10,0.5838580706881289,0,12,0.025482093663911846,0.15
37,44330105,2020-02-03,0.5837697271852638,0,12,0.026170798898071626,0.15
38,44372970,2020-02-03,0.5837697271852638,0,12,0.026859504132231406,0.15
39,44372998,2020-02-03,0.5837697271852638,0,12,0.027548209366391185,0.15
40,48233247,2020-01-15,0.5830191972271357,1,13,0.028236914600550965,0.1625
41,36141161,2020-05-20,0.5827192433112147,1,14,0.028925619834710745,0.175
42,49341829,2020-04-16,0.5821270640983122,0,14,0.029614325068870524,0.175
43,36166194,2020-05-15,0.5817928717335994,0,14,0.030303030303030304,0.175
44,36141264,2020-05-21,0.5816649490388656,0,14,0.030991735537190084,0.175
45,36313347,2020-05-26,0.5816649490388656,0,14,0.03168044077134986,0.175
46,44766349,2020-04-21,0.5816000555728779,1,15,0.03236914600550964,0.1875
47,38106432,2020-02-04,0.5813140695029507,0,15,0.03305785123966942,0.1875
48,36073512,2020-05-07,0.581039243579071,0,15,0.0337465564738292,0.1875
49,47228399,2020-05-20,0.5806345775385786,0,15,0.03443526170798898,0.1875
50,36477199,2020-05-21,0.5806345775385786,0,15,0.03512396694214876,0.1875
51,48006684,2020-05-19,0.5806345775385786,0,15,0.03581267217630854,0.1875
52,49742125,2020-04-28,0.5798161918577889,0,15,0.03650137741046832,0.1875
53,36020771,2020-05-25,0.5796605911839794,0,15,0.0371900826446281,0.1875
54,47488375,2020-05-19,0.5793105623820781,0,15,0.03787878787878788,0.1875
55,36150332,2020-05-18,0.5788488737290639,0,15,0.03856749311294766,0.1875
56,36963616,2020-02-07,0.5778363313345593,0,15,0.03925619834710744,0.1875
57,48031755,2020-01-16,0.5767808209543466,0,15,0.03994490358126722,0.1875
58,44183840,2020-04-15,0.5761767868086628,0,15,0.040633608815427,0.1875
59,48185666,2020-05-27,0.5756832389577492,0,15,0.04132231404958678,0.1875
60,40049216,2020-05-18,0.574872158749044,0,15,0.04201101928374656,0.1875
61,48524365,2020-05-19,0.574872158749044,0,15,0.04269972451790634,0.1875
62,39334550,2020-04-03,0.5724595508498947,0,15,0.04338842975206612,0.1875
63,47436660,2020-02-13,0.571662992282216,1,16,0.0440771349862259,0.2
64,36014944,2020-05-19,0.5714260094759303,0,16,0.044765840220385676,0.2
65,47461020,2020-04-08,0.5709701226374332,0,16,0.045454545454545456,0.2
66,36027593,2020-03-30,0.5708177853192755,0,16,0.046143250688705235,0.2
67,44601107,2020-02-26,0.5702184521944981,1,17,0.046831955922865015,0.2125
68,36310722,2020-05-07,0.5680216890002282,0,17,0.047520661157024795,0.2125
69,48269966,2020-02-24,0.5678528832943454,1,18,0.048209366391184574,0.225
