,NIP,DataUpadlosci,Score,Label,Sum,X_coordinates,y_coordinates
54,9121870957,2019-03-20 00:00:00.000,0.9986444,1,55,0.008500772797527048,0.029745808545159545
55,5170365275,2019-09-05 00:00:00.000,0.9986382,1,56,0.00865533230293663,0.03028664142779881
56,5261039771,2017-03-08 00:00:00.000,0.99856144,1,57,0.008809891808346213,0.030827474310438075
57,7811894012,2019-01-28 00:00:00.000,0.998547,1,58,0.008964451313755796,0.03136830719307734
58,4990648988,2018-01-12 00:00:00.000,0.99854374,1,59,0.009119010819165378,0.0319091400757166
59,8960000115,2018-06-07 00:00:00.000,0.9985367,1,60,0.00927357032457496,0.03244997295835587
60,7481407798,2019-10-08 00:00:00.000,0.998495,1,61,0.009428129829984543,0.03299080584099513
61,7781476639,2016-09-26 00:00:00.000,0.9984919,1,62,0.009582689335394128,0.0335316387236344
62,8440002674,2016-07-07 00:00:00.000,0.9984407,1,63,0.00973724884080371,0.03407247160627366
63,5213662696,2018-11-27 00:00:00.000,0.99843854,1,64,0.009891808346213293,0.03461330448891293
64,6443502844,2019-03-11 00:00:00.000,0.9984034,1,65,0.010046367851622875,0.035154137371552194
65,5851403031,2015-12-08 00:00:00.000,0.99840206,1,66,0.010200927357032458,0.03569497025419145
66,6772385061,2020-06-18 00:00:00.000,0.99832875,1,67,0.01035548686244204,0.03623580313683072
67,5222540366,2017-03-29 00:00:00.000,0.9983217,1,68,0.010510046367851623,0.03677663601946998
68,6040088458,2019-05-31 00:00:00.000,0.99829954,1,69,0.010664605873261205,0.03731746890210925
69,5542926943,2019-07-02 00:00:00.000,0.9982925,1,70,0.010819165378670788,0.03785830178474851
70,5791936544,2018-10-09 00:00:00.000,0.9982139,1,71,0.01097372488408037,0.03839913466738778
71,5252630849,2019-10-15 00:00:00.000,0.9981688,1,72,0.011128284389489953,0.038939967550027044
72,6720051359,2019-01-03 00:00:00.000,0.9981679,1,73,0.011282843894899537,0.03948080043266631
73,7282593522,2019-09-09 00:00:00.000,0.99816626,1,74,0.01143740340030912,0.04002163331530557
74,1230977443,2018-11-26 00:00:00.000,0.9981659,1,75,0.011591962905718702,0.04056246619794483
75,5262627607,2017-01-18 00:00:00.000,0.9981357,1,76,0.011746522411128285,0.0411032990805841
76,6762473711,2018-03-01 00:00:00.000,0.9981025,1,77,0.011901081916537867,0.04164413196322336
77,8131022087,2018-02-22 00:00:00.000,0.9980932,1,78,0.01205564142194745,0.04218496484586263
78,5260212411,2019-05-29 00:00:00.000,0.9980882,1,79,0.012210200927357032,0.042725797728501894
79,6272737700,2019-02-08 00:00:00.000,0.99808747,1,80,0.012364760432766615,0.04326663061114116
80,6721762890,2017-02-07 00:00:00.000,0.99808586,1,81,0.012519319938176197,0.043807463493780424
81,6110155161,2018-11-28 00:00:00.000,0.9980691,1,82,0.01267387944358578,0.04434829637641969
82,6692252062,2019-01-11 00:00:00.000,0.99802643,1,83,0.012828438948995362,0.04488912925905895
83,9571072210,2018-03-20 00:00:00.000,0.998021,1,84,0.012982998454404947,0.04542996214169821
84,9451981163,2018-12-31 00:00:00.000,0.99795365,1,85,0.01313755795981453,0.04597079502433748
85,7781439615,2019-11-08 00:00:00.000,0.99788576,1,86,0.013292117465224112,0.046511627906976744
86,7811877290,2018-12-17 00:00:00.000,0.99782217,1,87,0.013446676970633694,0.04705246078961601
87,8522638183,2020-05-25 00:00:00.000,0.9978199,1,88,0.013601236476043277,0.047593293672255274
88,7792367380,2018-03-20 00:00:00.000,0.99778396,1,89,0.01375579598145286,0.04813412655489454
89,5272757659,2018-06-19 00:00:00.000,0.99772924,1,90,0.013910355486862442,0.048674959437533805
