,meanImp,medianImp,minImp,maxImp,normHits,decision,V7,LabelType
0,-0.9830548125853068,-1.0010015025043828,-2.0078365911617535,0.017591731642190044,0.0,Rejected,TLAssignedName_Helak__G___Grzegorz_,AllTypes
1,-0.3857292693646578,0.0,-1.001001502504383,0.0,0.0,Rejected,CDDRiskLevel_Other,AllTypes
2,0.012381419770068318,0.037991012931769215,-1.753836697211178,2.0176750031687942,0.0,Rejected,Weekday_Tuesday,AllTypes
3,0.04647435504634193,0.004052404150430699,-1.2842194966830789,1.667867503011471,0.0,Rejected,Weekday_Thursday,AllTypes
4,0.32043520690371247,0.4226915469320183,-0.7115048587787487,1.9012669945302603,0.0,Rejected,TLAssignedName_Skrzynecki__P___Piotr_,AllTypes
5,0.4096105452248468,0.7782456974886989,-1.641592079732463,2.452624420814904,0.010101010101010102,Rejected,ESR_ESR_linked,AllTypes
6,0.5353439144148975,0.3588509474838199,-1.1031852811937186,3.5474016204592287,0.010101010101010102,Rejected,CRS_TRUE,AllTypes
7,0.6204529646632263,0.4984439562752554,-1.4584081785408078,2.307182935240676,0.0,Rejected,TLAssignedName_Bartczak__K___Kamil_,AllTypes
8,0.6206622802784136,0.4573723196311057,-1.0065223831731158,2.6901024623530656,0.020202020202020204,Rejected,CDDRiskLevel_Normal,AllTypes
9,0.7217708565877755,0.7435187356623744,-0.8336076192098525,2.4853319412779755,0.010101010101010102,Rejected,Weekday_Wednesday,AllTypes
10,0.745577868151187,0.531687561805652,-0.7072213621864037,2.617287364497725,0.0,Rejected,TLAssignedName_Armannsson__G___Gabriela_,AllTypes
11,0.7590053145206286,1.236429288508303,-1.1328986764141842,2.289216741837749,0.0,Rejected,Weekday_Monday,AllTypes
12,0.7930755008266851,0.94281402829251,-1.8526924834787977,2.2129431800513633,0.0,Rejected,TLAssignedName_Bonczkowski__P___Pawel_,AllTypes
13,0.8108608414136428,0.9357150135222211,-0.7883539574805045,1.7021101175859692,0.0,Rejected,FATCA_FALSE,AllTypes
14,0.8489020899020484,0.8641334791195021,-0.5813869320938676,1.9464379686138376,0.0,Rejected,CRS_FALSE,AllTypes
15,1.1043522589190733,1.0255445514847932,-0.5913747158963162,2.869282565482005,0.010101010101010102,Rejected,Weekday_Friday,AllTypes
16,1.2376427938363375,1.181680258378813,-0.4925255751498906,3.4567177452601068,0.030303030303030304,Rejected,CDDRiskLevel_Increased,AllTypes
17,1.2644107643922036,1.2032156670694925,-0.21055657396444466,2.521555811541546,0.0,Rejected,TLAssignedName_Kolodziejczyk__A___Anna_,AllTypes
18,1.2837803611899736,1.3363604786437313,0.07154883811507144,2.4739350650079466,0.010101010101010102,Rejected,FATCA_TRUE,AllTypes
19,1.3683680987648073,1.2963935610739608,0.26118962756845815,2.80444342210104,0.0,Rejected,OwnershipLayers,AllTypes
20,1.369087020934603,1.4353249681890838,-0.17136544074629653,3.08894989322235,0.010101010101010102,Rejected,PopulationMatch,AllTypes
21,1.807285586679459,1.6684023846405234,0.05958184475838494,4.169441585725053,0.0707070707070707,Rejected,Critical_last_10_checklistsPC,AllTypes
22,1.8159795024575927,1.707586338815253,0.28695652284577017,3.888126998860099,0.04040404040404041,Rejected,Critical_last_5_checklistsPC,AllTypes
23,1.8404530497890792,1.700852925225734,0.4063831637596119,3.1581187644970456,0.06060606060606061,Rejected,TLAssignedName_Reglinska__J___Joanna_,AllTypes
24,1.8939253435276033,1.8944182879159452,-1.2632919766220359,4.830700050835817,0.15151515151515152,Rejected,ESR_No_ESR_needed,AllTypes
25,1.9902480776644491,2.1084828547550796,-1.0010015025043828,3.4014885145986784,0.10101010101010101,Rejected,TLAssignedName_Jaszewski__M___Michal_,AllTypes
26,2.134966355536977,2.0502777888220876,-0.4553342456476157,4.4555269592850335,0.3333333333333333,Confirmed,CDDRiskLevel_Low,AllTypes
27,2.511925571169904,2.5173140998554215,-0.348622310592799,5.59472263330251,0.4444444444444444,Rejected,ScreenedParties,AllTypes
28,2.5393753618811306,2.560494190090067,0.17801320879412771,4.61711053340768,0.40404040404040403,Confirmed,PartyType_Subsidiary,AllTypes
29,2.590049344986226,2.552238587171432,0.13984600382696397,4.421402533991987,0.46464646464646464,Confirmed,Minor_last_5_checklistsDR,AllTypes
30,2.641350044036466,2.751811957964208,-0.0356327131653437,5.404188823718738,0.5555555555555556,Confirmed,PartyType_Ultimate,AllTypes
31,2.9308174250233954,3.002185356063546,0.34863180425893736,5.148183255188951,0.6262626262626263,Rejected,TLAssignedName_Yadav__N___Neha_,AllTypes
32,3.106934688886867,3.091495262525251,1.049557541484093,6.496362478117845,0.6262626262626263,Confirmed,ESR_Full_ESR_review,AllTypes
33,3.247608580039397,3.131027248152913,1.4006753084273094,5.657587129098457,0.6363636363636364,Confirmed,Cases_last_5_days_of_PC,AllTypes
34,3.5841256652015345,3.630777584105933,0.9907089157244738,6.258170240737622,0.7575757575757576,Confirmed,Cases_last_30_days_of_PC,AllTypes
35,3.691766725019242,3.710994361119384,0.9368938475904631,5.957963985891135,0.8383838383838383,Confirmed,Critical_last_5_checklistsDR,AllTypes
36,3.9121545289473936,3.9057871682847667,1.5856799184854253,6.695143636793245,0.8383838383838383,Confirmed,HourNumeric,AllTypes
37,3.9334097156746197,3.9007830928329437,1.3940874909555643,6.812121727009459,0.8787878787878788,Confirmed,Minor_last_5_checklistsPC,AllTypes
38,3.99940023622494,3.9996285129892093,0.8346294324162519,6.423300562199942,0.8484848484848485,Confirmed,TLAssignedName_Makowska__M_M___Malgorzata_,AllTypes
