,NIP,DataUpadlosci,Score,Label,Sum,X_coordinates,y_coordinates
0,8883119582,2018-04-18 00:00:00.000,0.7182447033851942,1,1,0.0001545595054095827,0.0005408328826392645
1,7491914491,2018-03-27 00:00:00.000,0.7182447033851942,1,2,0.0003091190108191654,0.001081665765278529
2,6131214093,2017-03-08 00:00:00.000,0.7182447033851942,1,3,0.0004636785162287481,0.0016224986479177934
3,6581917038,2018-12-31 00:00:00.000,0.7182447033851942,1,4,0.0006182380216383308,0.002163331530557058
4,7393867773,2019-06-24 00:00:00.000,0.7182447033851942,1,5,0.0007727975270479134,0.0027041644131963224
5,5420003663,2018-04-21 00:00:00.000,0.7182447033851942,1,6,0.0009273570324574962,0.003244997295835587
6,1010005962,2018-03-09 00:00:00.000,0.7182447033851942,1,7,0.0010819165378670788,0.0037858301784748512
7,9542730320,2019-03-12 00:00:00.000,0.7182447033851942,1,8,0.0012364760432766616,0.004326663061114116
8,6720051359,2019-01-03 00:00:00.000,0.7182447033851942,1,9,0.0013910355486862441,0.0048674959437533805
9,8942641536,2019-04-03 00:00:00.000,0.7182447033851942,1,10,0.0015455950540958269,0.005408328826392645
10,8133460555,2019-05-08 00:00:00.000,0.7182447033851942,1,11,0.0017001545595054096,0.005949161709031909
11,5851396118,2018-03-22 00:00:00.000,0.7182447033851942,1,12,0.0018547140649149924,0.006489994591671174
12,7010083511,2018-11-27 00:00:00.000,0.7182447033851942,1,13,0.002009273570324575,0.007030827474310438
13,5213654716,2018-11-29 00:00:00.000,0.7182447033851942,1,14,0.0021638330757341576,0.0075716603569497025
14,9222306454,2018-05-10 00:00:00.000,0.7182447033851942,1,15,0.00231839258114374,0.008112493239588967
15,1070009863,2019-02-01 00:00:00.000,0.7182447033851942,1,16,0.002472952086553323,0.008653326122228232
16,6941628254,2015-12-09 00:00:00.000,0.7182447033851942,1,17,0.0026275115919629057,0.009194159004867496
17,8992666840,2018-04-10 00:00:00.000,0.7182447033851942,1,18,0.0027820710973724882,0.009734991887506761
18,6690500834,2016-08-29 00:00:00.000,0.7182447033851942,1,19,0.002936630602782071,0.010275824770146024
19,6792542753,2019-05-31 00:00:00.000,0.7156390375564109,1,20,0.0030911901081916537,0.01081665765278529
20,9571063300,2019-03-06 00:00:00.000,0.7156390375564109,1,21,0.0032457496136012367,0.011357490535424553
21,8130335565,2019-03-28 00:00:00.000,0.7156390375564109,1,22,0.0034003091190108192,0.011898323418063819
22,2040001366,2018-06-22 00:00:00.000,0.7156390375564109,1,23,0.0035548686244204018,0.012439156300703082
23,5832764331,2018-11-13 00:00:00.000,0.7156390375564109,1,24,0.0037094281298299847,0.012979989183342347
24,5272380634,2019-02-25 00:00:00.000,0.7149709332431562,1,25,0.0038639876352395673,0.01352082206598161
25,8522458392,2019-02-22 00:00:00.000,0.7145138576865405,1,26,0.00401854714064915,0.014061654948620876
26,8982205008,2019-03-25 00:00:00.000,0.7145138576865405,1,27,0.004173106646058733,0.014602487831260141
27,9562282149,2018-06-21 00:00:00.000,0.7145138576865405,1,28,0.004327666151468315,0.015143320713899405
28,9372667432,2019-03-08 00:00:00.000,0.7145138576865405,1,29,0.004482225656877898,0.01568415359653867
29,6690501727,2018-08-17 00:00:00.000,0.7145138576865405,1,30,0.00463678516228748,0.016224986479177934
30,7450001747,2018-08-01 00:00:00.000,0.7128004022033638,1,31,0.004791344667697064,0.0167658193618172
31,7771000378,2015-12-15 00:00:00.000,0.7121322978901091,1,32,0.004945904173106646,0.017306652244456464
32,9482579019,2018-12-20 00:00:00.000,0.7104603157680535,1,33,0.005100463678516229,0.017847485127095726
33,7811884858,2019-08-12 00:00:00.000,0.7104603157680535,1,34,0.005255023183925811,0.01838831800973499
34,5260000287,2018-04-09 00:00:00.000,0.7096125318518347,1,35,0.005409582689335394,0.018929150892374257
35,6262684971,2019-01-31 00:00:00.000,0.7096125318518347,1,36,0.0055641421947449764,0.019469983775013522
36,5251061378,2019-02-22 00:00:00.000,0.708986638479339,1,37,0.00571870170015456,0.020010816657652784
37,1070010004,2018-05-30 00:00:00.000,0.7088404885359731,1,38,0.005873261205564142,0.02055164954029205
38,5862206392,2018-03-27 00:00:00.000,0.70819769247833,1,39,0.006027820710973725,0.021092482422931314
39,7810000053,2017-01-30 00:00:00.000,0.7079482781903665,1,40,0.0061823802163833074,0.02163331530557058
40,6941559234,2019-02-12 00:00:00.000,0.7078546499392702,1,41,0.00633693972179289,0.022174148188209845
41,6411008259,2017-02-10 00:00:00.000,0.7078546499392702,1,42,0.006491499227202473,0.022714981070849107
42,5210124515,2018-12-06 00:00:00.000,0.7078546499392702,1,43,0.006646058732612056,0.023255813953488372
43,6342771614,2019-03-15 00:00:00.000,0.7070088414270445,1,44,0.0068006182380216385,0.023796646836127637
44,6951482993,2019-01-04 00:00:00.000,0.7067294700693997,1,45,0.006955177743431221,0.024337479718766902
45,7272356559,2019-01-29 00:00:00.000,0.7067294700693997,1,46,0.0071097372488408035,0.024878312601406164
46,9121870957,2019-03-20 00:00:00.000,0.7067294700693997,1,47,0.007264296754250386,0.02541914548404543
47,9591950323,2019-02-12 00:00:00.000,0.7067294700693997,1,48,0.0074188562596599695,0.025959978366684695
48,6652988644,2019-01-22 00:00:00.000,0.7067294700693997,1,49,0.007573415765069552,0.02650081124932396
49,8131022087,2018-02-22 00:00:00.000,0.7067294700693997,1,50,0.0077279752704791345,0.02704164413196322
50,7972054228,2019-10-04 00:00:00.000,0.7067294700693997,1,51,0.007882534775888718,0.027582477014602487
51,7792367718,2017-02-24 00:00:00.000,0.7067294700693997,1,52,0.0080370942812983,0.028123309897241752
52,5213668397,2018-08-16 00:00:00.000,0.7067294700693997,1,53,0.008191653786707883,0.028664142779881017
53,5482342634,2017-01-10 00:00:00.000,0.7061625981056542,1,54,0.008346213292117466,0.029204975662520283
54,5832679571,2019-02-26 00:00:00.000,0.7045808797972323,1,55,0.008500772797527048,0.029745808545159545
55,5272668200,2019-08-06 00:00:00.000,0.7041238042406165,1,56,0.00865533230293663,0.03028664142779881
56,6760078028,2017-09-05 00:00:00.000,0.7041238042406165,1,57,0.008809891808346213,0.030827474310438075
