"meanImp","medianImp","minImp","maxImp","normHits","decision","V7"
-0.700963945166035,-0.76844541198267,-3.31486258827998,1.72365380493156,0,"Rejected","Voivodeship_PODKARPACKIE"
-0.513661875702501,-0.505272883478391,-2.39672972724519,1.27222494054623,0,"Rejected","Voivodeship_£ÓDZKIE"
-0.444735890252088,-1.00100150250438,-1.68897972105442,1.41703907570464,0,"Rejected","DividendCount"
-0.381068692669904,-0.120927120452649,-2.4372522186731,1.46966526461415,0,"Rejected","`Voivodeship_KUJAWSKO-POMORSKIE`"
-0.285401783936555,-0.539185921054127,-1.79588581423884,1.14125163130248,0,"Rejected","Voivodeship_ZACHODNIOPOMORSKIE"
-0.256271563603934,-0.220930030326601,-1.73365646238121,1.49228229609885,0,"Rejected","SecondaryNAICSCount"
-0.208081796693368,-0.032593164940509,-2.26505462102068,1.33496919721789,0,"Rejected","MainPKD_TransportMagazyny"
0,0,0,0,0,"Rejected","`EMISLegalForm_PL-S-NIA`"
0,0,0,0,0,"Rejected","`RodzajRejestru_REJESTR STOWARZYSZEÑ, INNYCH ORGANIZACJI SPO£ECZNYCH I ZAWODOWYCH, FUNDACJI ORAZ SAMODZIELNYCH PUBLICZNYCH ZAK£ADÓW OPIEKI ZDROWOTNEJ`"
0,0,0,0,0,"Rejected","SpecialLegalForm_SPÓ£DZIELNIE"
0,0,0,0,0,"Rejected","PhoneNotPresent_BrakDanych"
0.0555215225782389,-0.319056130389616,-2.12308159205818,1.74940498256728,0,"Rejected","Voivodeship_ŒL¥SKIE"
0.170122273191709,0.169021482624402,-1.88456509916415,2.18586343518971,0,"Rejected","VirtualAccountsPresence_BrakDanych"
0.17063490109555,0.108855666740608,-1.3527076062336,1.51157560117911,0,"Rejected","Voivodeship_Other"
0.198437771165177,0.286354589529194,-1.55368108332504,2.22319950815648,0,"Rejected","MainNAICSCodes_Services"
0.24334109276658,0.153359155199339,-1.02045918002537,1.91005702677004,0,"Rejected","LatestMarketCapitalization"
0.398302814812905,0.424253283404091,-1.7858539805756,1.77281090633374,0,"Rejected","RevertedLicenses"
0.400265122523216,0.39496603746879,-1.31062368719053,1.89629538483579,0,"Rejected","MainNAICSCodes_FinanceInsuranceRealEstate"
0.439535514134472,0,-0.00378510141790054,1.73722802681351,0,"Rejected","DividendSum"
0.490740094896144,0.354946740154864,-1.11712204768179,2.53366335667281,0,"Rejected","Voivodeship_DOLNOŒL¥SKIE"
0.840879819017526,1.11105456672986,-1.32502313863944,3.00774597056101,0.0101010101010101,"Rejected","Voivodeship_LUBELSKIE"
0.872213675098542,0.810120737495134,-0.335331189458943,2.63625060422623,0,"Rejected","MainNAICSCount"
0.876342534184229,0.635029198508076,-0.982738242073525,2.79999326673093,0.0202020202020202,"Rejected","MainNAICSCodes_TransportationUtilities"
0.885856244833507,0.733322599113333,-0.23192891152473,2.185139288514,0,"Rejected","JednostkiLokalne"
0.887295419763928,1.20703960199977,-0.815340842561928,3.39077346966999,0.0101010101010101,"Rejected","MainNAICSCodes_WholesaleTrade"
0.916603851691876,0.990677994623673,-0.665931964144276,1.89502966285425,0,"Rejected","Voivodeship_MA£OPOLSKIE"
0.971263146714992,1.05883059743555,-1.33265560070756,3.10476511837366,0.0202020202020202,"Rejected","Voivodeship_WIELKOPOLSKIE"
1.1605203526363,1.4902402747108,-0.0337963402447039,2.53413435141248,0,"Rejected","MainPKD_Nieruchomosci"
1.17605921616884,1.32574606327771,-0.983925154774774,2.34134457286,0,"Rejected","MainPKD_InformacjaKomunikacja"
1.27940039750043,1.17052794763079,-0.181303058346334,2.94957789455302,0.0101010101010101,"Rejected","MainPKD_UslugiPozostale"
1.31700509016555,1.37194323333747,-0.434192036290736,3.59065523993901,0.0202020202020202,"Rejected","Voivodeship_POMORSKIE"
1.39116985445572,1.42619592563822,-0.670433469185477,4.04917686428627,0.0404040404040404,"Rejected","RyzykownaDzia³alnoscGlowna_TAK"
1.46171993816364,1.42355131417818,-0.132914293658564,3.16369015665014,0.0202020202020202,"Rejected","MainNAICSCodes_Other"
1.46186560001036,1.57709387791594,0,2.24720688068018,0,"Rejected","`RodzajRejestru_REJESTR PRZEDSIÊBIORCÓW`"
1.48494372996626,1.4170447175025,0,2.46413565875505,0.0101010101010101,"Rejected","RodzajRejestru_Other"
1.49552815899908,1.41704043178447,0,2.46426039120631,0,"Rejected","LegalForm_Other"
1.54538898500046,1.79565895444233,-1.3646049831471,2.79037898891581,0.0505050505050505,"Rejected","`FormaWlasnosci_W£ASNOŒÆ MIESZANA W SEKTORZE PRYWATNYM`"
1.65400266299314,1.53680426968255,-0.50387863825035,3.83658155007668,0.0606060606060606,"Rejected","AdresBiuroWirtualne_TAK"
1.67779397558048,1.64490969768613,0.269525086880143,2.84121500425968,0.0202020202020202,"Rejected","MainPKD_DzialalnoscNaukowaTechniczna"
1.68345520295198,1.65587107662678,-0.51855031005683,3.20028248904353,0.0303030303030303,"Rejected","MainPKD_Budownictwo"
1.69275151673874,1.56132275182541,-0.150324780984487,3.75034310073388,0.0404040404040404,"Rejected","PublicMail_NIE"
1.79466913785205,1.8678433865182,0.683023576036017,2.81991122706728,0,"Rejected","MainPKD_PrzetworstwoPrzemyslowe"
1.85031966991622,1.76314843748198,-0.0229729745781196,3.69859453529605,0.0505050505050505,"Rejected","Voivodeship_MAZOWIECKIE"
1.87561913012332,1.92088001096899,-0.882444619567536,4.13541636296081,0.0707070707070707,"Rejected","PublicMail_TAK"
